Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
What is the maximum number of regions an Azure virtual network can span?;One;Two;Three;None;A;Virtual networks are deployed to a single region.
You have a Windows Azure VM, and you wish to directly backup only the following folders on the VM: C:\\FinanceApp and E:\\Database. You are not using a backup server. Which agent should you deploy to the virtual machine?;None, use the Azure VM agent.;Install the System Center Data Protection Manager (DPM) protection agent.;Microsoft Azure Backup Server (MABS) protection agent.;The Microsoft Azure Recovery Services (MARS) agent.;D;The Microsoft Azure Recovery Services (MARS) agent can be used to back up specific files, folders, or volumes on Windows Azure VMs.
Azure storage supports multiple redundancy options. Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1.;Anywhere in the management hierarchy.;Resource Groups in Sub1 and Sub1.;Only Sub1.;C;Resources must be within the resource hierarchy of the definition location to target for assignment. Both Resource Groups within Sub1 and Sub1 can be assigned the policy.
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account.
Which of the following statements about resource groups is NOT true?;Resource groups can be nested.;Resource groups contain Azure resources.;A resource can only be a member of a single resource group.;Many resources can be moved between resource groups.;A;Resource groups cannot be nested.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
A user named User1 has been assigned the Contributor role at the scope of a subscription named Sub1. User1 also has the Reader role assignment on a subscription named Sub2. User1 has also been assigned the Owner role at the scope of a resource group named RG1 within Sub1. No other role assignments exist for User1. Which of the following actions can the user perform?;Delete all resources within Sub2;Create resources within Sub2;Assign roles on RG1;Assign roles on Sub1;C;User1 can assign roles on RG1 using their Owner role assignment at that scope.
You have been asked to scale out a virtual machine deployment. What should you do?;Distribute the existing virtual machines to multiple regions;Increase the size of the virtual machine;Increase the number of virtual machine instances deployed;Increase the number of disks attached to the virtual machine;C;Scaling out involves deploying instances of an existing resource.
You have four virtual networks deployed. The virtual networks are deployed in the following regions: Australia East, South Central US, Southeast Asia, and West US. All virtual networks are fully peered. You are deploying Azure Bastion. How many Bastion hosts must you deploy to manage virtual machines deployed in all virtual networks?;3;4;1;2;C;Azure Bastion and VNet peering can be used together. When VNet peering is configured, you don't have to deploy Azure Bastion in each peered VNet.
You need to provide access to an Azure file share using Server Message Block (SMB). You have been asked which authentication methods are supported. Which of the following should you NOT recommend?;Shared access signatures for SMB;Microsoft Entra Kerberos for hybrid identities;Active Directory Domain Services (AD DS) authentication;Microsoft Entra Domain Services authentication;A;Shared access signatures for SMB is not a valid authentication option.
Which of the following resources is used to route the flow of network traffic to specific network destinations?;Network security groups;Azure firewall;ExpressRoute;User-defined routes;D;User-defined routes can be used to direct the flow of network traffic to specific network destinations.
Which of the following are valid membership types for Microsoft Entra groups?;Hybrid, guest, combined;Assigned, generated;Assigned, dynamic;Classic, Entra;C;Membership to Microsoft Entra groups can be either assigned or dynamic.
Which of the following statements is true about Entra ID licenses?;Entra ID licenses can be assigned to individual users or groups, but not both.;Entra ID licenses can be assigned to both individual users or groups.;Entra ID licenses can be assigned to individual users only.;Entra ID licenses can be assigned to groups only.;B;Entra ID licenses can be assigned to both users and groups as required.
Which of the following is NOT a valid Azure virtual machine disk type?;Operating System (OS);Data;Log;Temporary;C;Log is not a valid disk type.
Network Security Groups (NSGs) can be associated with which of the following Azure resources?;Network interfaces and subnets;Public and private IP addresses;Subnets and endpoints;Network interfaces and service endpoints;A;Network Security Groups (NSGs) can be associated with both network interfaces and subnets.
You have been asked to ensure that all Azure resources associated with a Human Resources (HR) workload are marked as confidential. What should you use?;Microsoft Entra groups;Administrative Units;Tags;Resource locks;C;Tags are key-value pairs that help you identify resources based on data to your organization.
You have been asked to allow 100 external users to access resources secured by your Microsoft Entra Tenant, including Microsoft 365. You create a CSV file with a list of email addresses and redirection URLs. In the Microsoft Entra Portal, which step should you take next?;From the All users menu, select New guest and then select Import.;From the All users menu, select Bulk operations and then select Bulk invite.;From the All users menu, select Bulk operations and then select Bulk create.;From the All guests menu, select Import guests.;B;You should select Bulk operations and then bulk invite guests from the All users menu.
When creating an Entra ID group, which group types can you create?;User, Device, Application;Security, Distribution;Security, Microsoft 365;User, Device;C;Microsoft Entra ID supports two group types, Security, and Microsoft 365.
Azure Storage provides four storage services. What are they?;Blobs, messages, databases, and files;Containers, tables, queues, and files;Blobs, tables, queues, and files;Disks, tables, queues, and files;C;Azure storage provides unstructured blob storage, non-relational table storage, message storage with queues, and network share file storage with files.
You have an existing storage account. You configure customer-managed keys for the account. Which storage services are encrypted using the customer-managed keys?;Blob storage only;Blob, table, queue, and file storage;Blob, queue, and file storage;Blob, and file storage;B;Data stored in queue and table storage isn't automatically protected by a customer-managed key when customer-managed keys are enabled for an existing storage account. You must configure these services to be included in this protection when you create the storage account.
Which of the following is NOT a valid requirement to configure and test self-service password reset for cloud-only users?;An account with Global Administrator or Authentication Policy Administrator privileges;A Microsoft Entra tenant with at least a Microsoft Entra ID Free license;A Microsoft Entra tenant with at least a Microsoft Entra ID P1 license;A non-administrator user account.;C;Microsoft Entra ID P1 is required for self-service password reset/change/unlock and on-premises write-back.
When managing Microsoft Entra and Azure, there are two types of roles that can be used to grant privileges to manage those resources. What are the two role types?;Privileged roles, Standard roles;Azure AD roles, Microsoft Entra roles;User roles, machine roles;Microsoft Entra roles, Azure roles;D;Microsoft Entra roles grant privileges within the Microsoft Entra tenant. Azure roles grant privileges within Azure subscriptions and management groups.
Which of the following scopes can you assign Azure (RBAC) roles?;Entra Tenants, administrative units or individual Entra objects like applications.;Management groups, subscriptions, resource groups, and individual resources.;Management groups, subscriptions, and resource groups.;Entra Tenants, administrative units, individual Entra objects like applications, management groups, subscriptions, resource groups, and individual resources.;B;Azure RBAC role assignments can be scoped to management groups, subscriptions, resource groups, and individual resources.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1.;Anywhere in the management hierarchy.;Resource Groups in Sub1 and Sub1.;Only Sub1.;C;Resources must be within the resource hierarchy of the definition location to target for assignment. Both Resource Groups within Sub1 and Sub1 can be assigned the policy.
Which of the following statements is true about Entra ID licenses?;Entra ID licenses can be assigned to individual users or groups, but not both.;Entra ID licenses can be assigned to both individual users or groups.;Entra ID licenses can be assigned to individual users only.;Entra ID licenses can be assigned to groups only.;B;Entra ID licenses can be assigned to both users and groups as required.
You have been asked to ensure that all Azure resources associated with a Human Resources (HR) workload are marked as confidential. What should you use?;Microsoft Entra groups;Administrative Units;Tags;Resource locks;C;Tags are key-value pairs that help you identify resources based on data to your organization.
You have been asked to allow 100 external users to access resources secured by your Microsoft Entra Tenant, including Microsoft 365. You create a CSV file with a list of email addresses and redirection URLs. In the Microsoft Entra Portal, which step should you take next?;From the All users menu, select New guest and then select Import.;From the All users menu, select Bulk operations and then select Bulk invite.;From the All users menu, select Bulk operations and then select Bulk create.;From the All guests menu, select Import guests.;B;You should select Bulk operations and then bulk invite guests from the All users menu.
When creating an Entra ID group, which group types can you create?;User, Device, Application;Security, Distribution;Security, Microsoft 365;User, Device;C;Microsoft Entra ID supports two group types, Security, and Microsoft 365.
Which of the following resources is used to route the flow of network traffic to specific network destinations?;Network security groups;Azure firewall;ExpressRoute;User-defined routes;D;User-defined routes can be used to direct the flow of network traffic to specific network destinations.
Which of the following are valid membership types for Microsoft Entra groups?;Hybrid, guest, combined;Assigned, generated;Assigned, dynamic;Classic, Entra;C;Membership to Microsoft Entra groups can be either assigned or dynamic.
Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts.
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account.
You have an existing storage account. You configure customer-managed keys for the account. Which storage services are encrypted using the customer-managed keys?;Blob storage only;Blob, table, queue, and file storage;Blob, queue, and file storage;Blob, and file storage;B;Data stored in queue and table storage isn't automatically protected by a customer-managed key when customer-managed keys are enabled for an existing storage account. You must configure these services to be included in this protection when you create the storage account.
Azure storage supports multiple storage tiers for Blob storage. Which of the following is NOT a valid storage tier?;Cold;Archive;Glacier;Cool;C;Glacier is not a valid Azure storage tier.
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts.;You must be assigned the Owner role on the storage account or higher in the scope.;Blob versioning is enabled for both the source and destination account.;The blob change feed must be enabled for the source account.;D;The blob change feed must be enabled for the source account, but it does not need to be enabled on the destination account.
You plan to delegate access to a storage account using a shared access signature (SAS). You need to set an expiration time that you may need to extend. Which of the following do you configure?;A storage account access key;An expiration policy for shared access signatures;A stored access policy;A user delegation SAS;C;A stored access policy provides additional server side control over shared access signatures (SAS), including the ability to change the start time, expiry time, or permissions.
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2, regenerate key 1, update the application to use key 1, and then regenerate key 2.;Regenerate key 1, and update the application to use the new key.;Update the application to use key 2, regenerate key 1, and then update the application to use key 1.;Regenerate key 2, and update the application to use key 2.;A;This series of steps would successfully rotate the storage account access keys.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access.
Which of the following resources is used to route the flow of network traffic to specific network destinations?;Network security groups;Azure firewall;ExpressRoute;User-defined routes;D;User-defined routes can be used to direct the flow of network traffic to specific network destinations.
You have been asked to scale out a virtual machine deployment. What should you do?;Distribute the existing virtual machines to multiple regions;Increase the size of the virtual machine;Increase the number of virtual machine instances deployed;Increase the number of disks attached to the virtual machine;C;Scaling out involves deploying instances of an existing resource.
You have four virtual networks deployed. The virtual networks are deployed in the following regions: Australia East, South Central US, Southeast Asia, and West US. All virtual networks are fully peered. You are deploying Azure Bastion. How many Bastion hosts must you deploy to manage virtual machines deployed in all virtual networks?;3;4;1;2;C;Azure Bastion and VNet peering can be used together. When VNet peering is configured, you don't have to deploy Azure Bastion in each peered VNet.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access.
What is the maximum number of regions an Azure virtual network can span?;One;Two;Three;None;A;Virtual networks are deployed to a single region.
You have a Windows Azure VM, and you wish to directly backup only the following folders on the VM: C:\\FinanceApp and E:\\Database. You are not using a backup server. Which agent should you deploy to the virtual machine?;None, use the Azure VM agent.;Install the System Center Data Protection Manager (DPM) protection agent.;Microsoft Azure Backup Server (MABS) protection agent.;The Microsoft Azure Recovery Services (MARS) agent.;D;The Microsoft Azure Recovery Services (MARS) agent can be used to back up specific files, folders, or volumes on Windows Azure VMs.
Azure storage supports multiple redundancy options. Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1.;Anywhere in the management hierarchy.;Resource Groups in Sub1 and Sub1.;Only Sub1.;C;Resources must be within the resource hierarchy of the definition location to target for assignment. Both Resource Groups within Sub1 and Sub1 can be assigned the policy.
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account.
Which of the following statements about resource groups is NOT true?;Resource groups can be nested.;Resource groups contain Azure resources.;A resource can only be a member of a single resource group.;Many resources can be moved between resource groups.;A;Resource groups cannot be nested.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
A user named User1 has been assigned the Contributor role at the scope of a subscription named Sub1. User1 also has the Reader role assignment on a subscription named Sub2. User1 has also been assigned the Owner role at the scope of a resource group named RG1 within Sub1. No other role assignments exist for User1. Which of the following actions can the user perform?;Delete all resources within Sub2;Create resources within Sub2;Assign roles on RG1;Assign roles on Sub1;C;User1 can assign roles on RG1 using their Owner role assignment at that scope.
Which of the following resources is used to route the flow of network traffic to specific network destinations?;Network security groups;Azure firewall;ExpressRoute;User-defined routes;D;User-defined routes can be used to direct the flow of network traffic to specific network destinations.
You have been asked to scale out a virtual machine deployment. What should you do?;Distribute the existing virtual machines to multiple regions;Increase the size of the virtual machine;Increase the number of virtual machine instances deployed;Increase the number of disks attached to the virtual machine;C;Scaling out involves deploying instances of an existing resource.
You have four virtual networks deployed. The virtual networks are deployed in the following regions: Australia East, South Central US, Southeast Asia, and West US. All virtual networks are fully peered. You are deploying Azure Bastion. How many Bastion hosts must you deploy to manage virtual machines deployed in all virtual networks?;3;4;1;2;C;Azure Bastion and VNet peering can be used together. When VNet peering is configured, you don't have to deploy Azure Bastion in each peered VNet.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access.
What is the maximum number of regions an Azure virtual network can span?;One;Two;Three;None;A;Virtual networks are deployed to a single region.
You have a Windows Azure VM, and you wish to directly backup only the following folders on the VM: C:\\FinanceApp and E:\\Database. You are not using a backup server. Which agent should you deploy to the virtual machine?;None, use the Azure VM agent.;Install the System Center Data Protection Manager (DPM) protection agent.;Microsoft Azure Backup Server (MABS) protection agent.;The Microsoft Azure Recovery Services (MARS) agent.;D;The Microsoft Azure Recovery Services (MARS) agent can be used to back up specific files, folders, or volumes on Windows Azure VMs.
Azure storage supports multiple redundancy options. Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1.;Anywhere in the management hierarchy.;Resource Groups in Sub1 and Sub1.;Only Sub1.;C;Resources must be within the resource hierarchy of the definition location to target for assignment. Both Resource Groups within Sub1 and Sub1 can be assigned the policy.
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account.
Which of the following statements about resource groups is NOT true?;Resource groups can be nested.;Resource groups contain Azure resources.;A resource can only be a member of a single resource group.;Many resources can be moved between resource groups.;A;Resource groups cannot be nested.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
A user named User1 has been assigned the Contributor role at the scope of a subscription named Sub1. User1 also has the Reader role assignment on a subscription named Sub2. User1 has also been assigned the Owner role at the scope of a resource group named RG1 within Sub1. No other role assignments exist for User1. Which of the following actions can the user perform?;Delete all resources within Sub2;Create resources within Sub2;Assign roles on RG1;Assign roles on Sub1;C;User1 can assign roles on RG1 using their Owner role assignment at that scope.
Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts.
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account.
You have an existing storage account. You configure customer-managed keys for the account. Which storage services are encrypted using the customer-managed keys?;Blob storage only;Blob, table, queue, and file storage;Blob, queue, and file storage;Blob, and file storage;B;Data stored in queue and table storage isn't automatically protected by a customer-managed key when customer-managed keys are enabled for an existing storage account. You must configure these services to be included in this protection when you create the storage account.
Azure storage supports multiple storage tiers for Blob storage. Which of the following is NOT a valid storage tier?;Cold;Archive;Glacier;Cool;C;Glacier is not a valid Azure storage tier.
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts.;You must be assigned the Owner role on the storage account or higher in the scope.;Blob versioning is enabled for both the source and destination account.;The blob change feed must be enabled for the source account.;D;The blob change feed must be enabled for the source account, but it does not need to be enabled on the destination account.
You plan to delegate access to a storage account using a shared access signature (SAS). You need to set an expiration time that you may need to extend. Which of the following do you configure?;A storage account access key;An expiration policy for shared access signatures;A stored access policy;A user delegation SAS;C;A stored access policy provides additional server side control over shared access signatures (SAS), including the ability to change the start time, expiry time, or permissions.
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2, regenerate key 1, update the application to use key 1, and then regenerate key 2.;Regenerate key 1, and update the application to use the new key.;Update the application to use key 2, regenerate key 1, and then update the application to use key 1.;Regenerate key 2, and update the application to use key 2.;A;This series of steps would successfully rotate the storage account access keys.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access.
What is the primary goal of a business continuity plan (BCP)?;To ensure the safety of employees;To minimize financial losses;To maintain critical business functions during and after a disaster;To comply with regulatory requirements;C;The primary goal of a business continuity plan (BCP) is to maintain critical business functions during and after a disaster. This involves ensuring that essential operations can continue with minimal disruption, thereby safeguarding the organization's ability to deliver products and services to its customers. A well-crafted BCP includes strategies for disaster recovery, data protection, and maintaining communication with stakeholders.
Which of the following is NOT a component of a business continuity plan?;Business impact analysis;Risk assessment;Marketing strategy;Disaster recovery plan;C;A marketing strategy is not a component of a business continuity plan. A BCP typically includes a business impact analysis, risk assessment, and disaster recovery plan. These components help identify potential risks, assess their impact on business operations, and develop strategies to mitigate those risks and ensure continuity of critical functions.
What is the purpose of a business impact analysis (BIA) in a BCP?;To identify potential risks and threats;To evaluate the financial impact of disruptions;To develop recovery strategies;To test the effectiveness of the BCP;B;The purpose of a business impact analysis (BIA) in a BCP is to evaluate the financial impact of disruptions on business operations. A BIA helps identify critical business functions and the resources required to support them, allowing organizations to prioritize recovery efforts and allocate resources effectively. It also helps determine the recovery time objectives (RTO) and recovery point objectives (RPO) for different business processes.
Which of the following is a key element of a disaster recovery plan?;Employee training;Data backup and restoration;Marketing campaigns;Product development;B;Data backup and restoration is a key element of a disaster recovery plan. A disaster recovery plan outlines the procedures for recovering data and restoring IT systems after a disruption. This includes regular data backups, secure storage of backup copies, and testing the restoration process to ensure data integrity and availability. Effective data backup and restoration strategies are essential for minimizing data loss and ensuring business continuity.
What is the difference between recovery time objective (RTO) and recovery point objective (RPO)?;RTO is the maximum acceptable downtime, while RPO is the maximum acceptable data loss;RTO is the maximum acceptable data loss, while RPO is the maximum acceptable downtime;RTO is the time it takes to recover data, while RPO is the time it takes to recover systems;RTO is the time it takes to notify stakeholders, while RPO is the time it takes to restore operations;A;Recovery time objective (RTO) is the maximum acceptable downtime for a business process, while recovery point objective (RPO) is the maximum acceptable data loss measured in time. RTO focuses on the time it takes to restore business operations after a disruption, whereas RPO focuses on the point in time to which data must be recovered to resume operations. Both RTO and RPO are critical metrics for designing effective disaster recovery and business continuity strategies.
Which of the following is an example of a high availability solution?;Regular data backups;Load balancing;Employee training;Marketing campaigns;B;Load balancing is an example of a high availability solution. High availability solutions are designed to ensure that critical systems and applications remain operational with minimal downtime. Load balancing distributes incoming network traffic across multiple servers, preventing any single server from becoming a bottleneck and ensuring continuous availability of services. Other high availability solutions include redundant hardware, failover clusters, and geographically distributed data centers.
What is the role of Azure Site Recovery in business continuity?;To provide data encryption;To manage user access;To replicate and recover virtual machines;To monitor network traffic;C;Azure Site Recovery plays a crucial role in business continuity by replicating and recovering virtual machines (VMs) in the event of a disruption. It enables organizations to replicate VMs to a secondary location, ensuring that critical applications and data remain available during outages. Azure Site Recovery also supports automated failover and failback processes, helping organizations minimize downtime and maintain business continuity.
Which of the following strategies is used to ensure data integrity during a disaster?;Data encryption;Data replication;Data compression;Data deduplication;B;Data replication is a strategy used to ensure data integrity during a disaster. Data replication involves creating copies of data and storing them in different locations, ensuring that data remains available and consistent even if one location is compromised. This strategy helps prevent data loss and ensures that critical information can be recovered quickly during a disaster. Other strategies for ensuring data integrity include regular data backups and implementing robust data protection measures.
What is the purpose of conducting regular tests of a business continuity plan?;To identify potential risks;To evaluate the effectiveness of the plan;To develop new marketing strategies;To train new employees;B;The purpose of conducting regular tests of a business continuity plan is to evaluate the effectiveness of the plan. Regular testing helps identify gaps and weaknesses in the plan, allowing organizations to make necessary adjustments and improvements. It also ensures that employees are familiar with their roles and responsibilities during a disruption, enhancing the organization's overall preparedness and resilience.
Which of the following is a benefit of having a business continuity plan?;Increased marketing reach;Improved employee morale;Enhanced operational resilience;Higher product sales;C;Enhanced operational resilience is a key benefit of having a business continuity plan. A well-developed BCP helps organizations prepare for and respond to disruptions, ensuring that critical business functions can continue with minimal impact. This resilience enhances the organization's ability to recover quickly from disasters, maintain customer trust, and protect its reputation. Other benefits of a BCP include compliance with regulatory requirements and reduced financial losses.
